0;10
1;12
2;14
3;16
4;18
5;20
6;22
7;24
8;26
9;28
10;30
11;32
12;34
13;36
14;38
15;40
16;42
17;44
18;46
19;48
20;50
21;52
22;54
23;56
24;58
25;60
26;62
27;64
28;66
29;68
30;70
31;72
32;74
33;76
34;78
35;80
36;82
37;84
38;86
39;88,0
40;90,5
41;92,10
42;94,15
43;96,20
44;98,25
45;100,30
46;102,35
47;104,40
48;106,45
49;108,50
50;110,55
51;112,60
52;114,65
53;116,70
54;118,75
55;120,80
56;122,85
57;124,90
58;126,95
59;128,10
60;130,10
61;132,11
62;134,11
63;136,12
64;138,12
65;140,13
66;142,13
67;144,14
68;146,14
69;148,15
70;150,15
71;152,16
72;154,16
73;156,17
74;158,17
75;160,18
76;162,18
77;164,19
78;166,19
79;168,20
80;170,20
81;172,21
82;174,21
83;176,22
84;178,22
85;180,23
86;182,23
87;184,24
88;186,24
89;188,25
90;190,25
91;192,26
92;194,26
93;196,27
94;198,27
95;200,28
96;202,28
97;204,29
98;206,29
99;208,30
100;210,35
101;212,30
102;214,35
103;216,30
104;218,35
105;220,30
106;222,35
107;224,30
108;226,35
109;228,30
110;230,35
111;232,30
112;234,35
113;236,30
114;238,35
115;240,30
116;242,35
117;244,30
118;246,35
119;248,40
120;250,45
121;252,40
122;254,45
123;256,40
124;258,45
125;260,40
126;262,45
127;264,40
128;266,45
129;268,40
130;270,45
131;272,40
132;274,45
133;276,40
134;278,45
135;280,40
136;282,45
137;284,40
138;286,45
139;288,50
140;290,55
141;292,50
142;294,55
